TIME_ID,Y,TIME
2018/12/7 10:20 PKXS03.0H_18,0.342466,2018/12/7 10:20
2018/12/7 10:54 PKTC01.00_09,0.266362,2018/12/7 10:54
2018/12/7 11:01 PKXR83.00_04,0.342466,2018/12/7 11:01
2018/12/7 11:11 PKTC01.00_02,0.190259,2018/12/7 11:11
2018/12/7 11:34 PKWT25.00_03,0.989346,2018/12/7 11:34
2018/12/7 11:39 PKXR67.00_07,0.228311,2018/12/7 11:39
2018/12/7 12:03 PFTA38.08_07__r1,0.380518,2018/12/7 12:03
2018/12/7 12:23 PKXR83.00_02,0.228311,2018/12/7 12:23
2018/12/7 12:40 PKWT59.0D_16,0.304414,2018/12/7 12:40
2018/12/7 12:43 PKXA84.00_09,0.456621,2018/12/7 12:43
2018/12/7 12:44 PKXR81.00_08,0.418569,2018/12/7 12:44
2018/12/7 13:00 PKXS03.0H_17,0.266362,2018/12/7 13:00
2018/12/7 13:05 PKXR83.00_01,0.228311,2018/12/7 13:05
2018/12/7 13:14 PM0T34.09_13,0.722983,2018/12/7 13:14
2018/12/7 13:30 PM0T91.00_02__r1,0.304414,2018/12/7 13:30
2018/12/7 14:11 PKXR67.00_06,0.418569,2018/12/7 14:11
2018/12/7 14:20 PM0T91.00_01__r1,0.304414,2018/12/7 14:20
2018/12/7 14:36 PKXR61.0D_21,0.837139,2018/12/7 14:36
2018/12/7 15:11 PKWT59.0D_15,0.456621,2018/12/7 15:11
2018/12/7 15:18 PKXA84.00_08,0.722983,2018/12/7 15:18
2018/12/7 15:38 PFTA62.07_01,0.494673,2018/12/7 15:38
2018/12/7 15:53 PKXS03.0H_16,0.228311,2018/12/7 15:53
2018/12/7 16:13 PKXR81.00_07,0.152207,2018/12/7 16:13
2018/12/7 16:28 PFTA36.0K_20,0.342466,2018/12/7 16:28
2018/12/7 16:37 PKXR67.00_05,0.380518,2018/12/7 16:37
2018/12/7 17:11 PFVA72.00_10__r1,0.190259,2018/12/7 17:11
2018/12/7 17:33 PFVA72.00_07__r1,0.304414,2018/12/7 17:33
2018/12/7 17:40 PKWT59.0D_14,0.494673,2018/12/7 17:40
2018/12/7 17:55 PKXA84.00_07,0.913242,2018/12/7 17:55
2018/12/7 18:12 PKWT54.09_24__r1,0.342466,2018/12/7 18:12
2018/12/7 18:15 PKXR61.0D_20,0.722983,2018/12/7 18:15
2018/12/7 18:32 PKWT54.09_23__r1,0.228311,2018/12/7 18:32
2018/12/7 18:43 PKXS03.0H_15,0.228311,2018/12/7 18:43
2018/12/7 19:05 PKXR67.00_04,0.456621,2018/12/7 19:05
